team;scored_goals;received_goals;goals_ratio;victory_percentage
Anaheim Ducks;1389;1354;35;0.5223333333333333
Atlanta Thrashers;2465;3014;-549;0.37918181818181823
Boston Bruins;5074;4823;251;0.4849047619047619
Buffalo Sabres;5076;4694;382;0.47514285714285714
Calgary Flames;4920;4896;24;0.4534761904761905
Carolina Hurricanes;3104;3254;-150;0.4485
Chicago Blackhawks;4875;4758;117;0.45428571428571424
Colorado Avalanche;3939;3534;405;0.5160625
Columbus Blue Jackets;2220;2744;-524;0.37918181818181823
Dallas Stars;4123;3729;394;0.516888888888889
Detroit Red Wings;5726;4489;1237;0.5860000000000001
Edmonton Oilers;4808;5239;-431;0.4091904761904761
Florida Panthers;3767;4113;-346;0.3972222222222222
Hartford Whalers;1586;1872;-286;0.3635714285714286
Los Angeles Kings;4974;5136;-162;0.4306666666666666
Mighty Ducks of Anaheim;2474;2667;-193;0.39799999999999996
Minnesota North Stars;774;837;-63;0.389
Minnesota Wild;2259;2338;-79;0.4489999999999999
Montreal Canadiens;4874;4764;110;0.4619523809523809
Nashville Predators;2825;2884;-59;0.47176923076923083
New Jersey Devils;4942;4269;673;0.5343333333333333
New York Islanders;4738;5369;-631;0.3834761904761905
New York Rangers;5018;4836;182;0.4689523809523809
Ottawa Senators;4401;4509;-108;0.43957894736842107
Philadelphia Flyers;5199;4762;437;0.4969523809523809
Phoenix Coyotes;3291;3462;-171;0.45280000000000004
Pittsburgh Penguins;5557;5274;283;0.4988095238095237
Quebec Nordiques;1304;1398;-94;0.40800000000000003
San Jose Sharks;4553;4744;-191;0.44745
St. Louis Blues;4959;4718;241;0.4825714285714285
Tampa Bay Lightning;4058;4842;-784;0.3843157894736842
Toronto Maple Leafs;4981;5157;-176;0.4537142857142856
Vancouver Canucks;5196;4933;263;0.48057142857142854
Washington Capitals;5041;4903;138;0.4771428571428572
Winnipeg Jets;1735;1910;-175;0.38885714285714285
